id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame
56,MP4_Gen1_x264_720Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
57,MP4_Gen2_h264_1400Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,1200000,116%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
58,MP4_Gen2_h264_2500Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1400000,178%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
59,MP4_Gen2_h264_768Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.h264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
60,MP4_Gen2_x264_1400Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,1200000,116%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
61,MP4_Gen2_x264_2500Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1400000,178%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
62,MP4_Gen2_x264_720Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds
63,MP4_Gen3_h264_10Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.h264",AACAudioCodec,ChannelModeStereo,320000,None,48000,16,MCptH264,7100000,140%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
64,MP4_Gen3_h264_2500Kbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.h264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,MCptH264,1400000,175%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
65,MP4_Gen3_h264_5Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.h264",AACAudioCodec,ChannelModeStereo,192000,None,44100,16,MCptH264,2800000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
66,MP4_Gen3_x264_10Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,7100000,140%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
67,MP4_Gen3_x264_2500Kbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1400000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
68,MP4_Gen3_x264_5Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,192000,None,44100,16,x264H264,2800000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
69,MP4_Legacy_iPod_768Kbps_180p.spfx,"Midrange iPod, 16x9 aspect ratio. AVC Baseline Profilie.","Devices.Apple i-Devices",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,MCptH264,550000,139%,BitRateModeTwoPassVBR,-1,320x180,10/Seconds
