id,name,encoder,decoder,muxer,demuxer,protocol,bitfilter,filter,parser,hwaccel,indev,outdev
136,libaacplus,1,,,,,,,,,,
457,libcelt,,1,,,,,,,,,
193,libdc1394,,,,,,,,,,1,
471,libdirac,1,1,,,,,,,,,
85,libgsm,1,1,,,,,,,,,
420,libgsm_ms,1,1,,,,,,,,,
225,libmp3lame,1,,,,,,,,,,
455,libnut,,,1,1,,,,,,,
34,libopencore_amrnb,1,1,,,,,,,,,
263,libopencore_amrwb,,1,,,,,,,,,
70,libopenjpeg,,1,,,,,,,,,
369,libschroedinger,1,1,,,,,,,,,
173,libspeex,1,1,,,,,,,,,
507,libtheora,1,,,,,,,,,,
312,libvo_aacenc,1,,,,,,,,,,
120,libvo_amrwbenc,1,,,,,,,,,,
454,libvorbis,1,,,,,,,,,,
264,libvpx,1,1,,,,,,,,,
68,libx264,1,,,,,,,,,,
401,libxavs,1,,,,,,,,,,
210,libxvid,1,,,,,,,,,,
16,ljpeg,1,,,,,,,,,,
261,lmlm4,,,,1,,,,,,,
404,loco,,1,,,,,,,,,
103,lut,,,,,,,1,,,,
434,lutrgb,,,,,,,1,,,,
243,lutyuv,,,,,,,1,,,,
67,lxf,,,,1,,,,,,,
402,m4v,,,1,1,,,,,,,
212,mace3,,1,,,,,,,,,
19,mace6,,1,,,,,,,,,
211,matroska,,,1,1,,,,,,,
97,matroska_audio,,,1,,,,,,,,
59,md5,,,1,,1,,,,,,
352,mdec,,1,,,,,,,,,
17,microdvd,,,1,1,,,,,,,
179,mimic,,1,,,,,,,,,
129,mjpeg,1,1,1,1,,,,1,,,
371,mjpeg2jpeg,,,,,,1,,,,,
178,mjpega_dump_header,,,,,,1,,,,,
511,mjpegb,,1,,,,,,,,,
463,mlp,,1,1,1,,,,1,,,
350,mm,,,,1,,,,,,,
156,mmf,,,1,1,,,,,,,
395,mmsh,,,,,1,,,,,,
201,mmst,,,,,1,,,,,,
321,mmvideo,,1,,,,,,,,,
125,motionpixels,,1,,,,,,,,,
490,mov,,,1,1,,,,,,,
510,mov2textsub,,,,,,1,,,,,
49,movie,,,,,,,1,,,,
384,mp,,,,,,,1,,,,
460,mp1,,1,,,,,,,,,
266,mp1float,,1,,,,,,,,,
353,mp2,1,1,1,,,,,,,,
73,mp2float,,1,,,,,,,,,
297,mp3,,1,1,1,,,,,,,
320,mp3_header_compress,,,,,,1,,,,,
124,mp3_header_decompress,,,,,,1,,,,,
407,mp3adu,,1,,,,,,,,,
214,mp3adufloat,,1,,,,,,,,,
23,mp3float,,1,,,,,,,,,
355,mp3on4,,1,,,,,,,,,
162,mp3on4float,,1,,,,,,,,,
430,mp4,,,1,,,,,,,,
104,mpc,,,,1,,,,,,,
495,mpc7,,1,,,,,,,,,
437,mpc8,,1,,1,,,,,,,
161,mpeg1_vdpau,,1,,,,,,,1,,
238,mpeg1system,,,1,,,,,,,,
45,mpeg1vcd,,,1,,,,,,,,
157,mpeg1video,1,1,1,,,,,,,,
302,mpeg2_crystalhd,,1,,,,,,,,,
494,mpeg2_dxva2,,,,,,,,,1,,
301,mpeg2_vaapi,,,,,,,,,1,,
110,mpeg2_vdpau,,,,,,,,,1,,
380,mpeg2dvd,,,1,,,,,,,,
185,mpeg2svcd,,,1,,,,,,,,
493,mpeg2video,1,1,1,,,,,,,,
519,mpeg2vob,,,1,,,,,,,,
299,mpeg4,1,1,,,,,,,,,
111,mpeg4_crystalhd,,1,,,,,,,,,
443,mpeg4_vaapi,,,,,,,,,1,,
444,mpeg4_vdpau,,1,,,,,,,,,
271,mpeg4video,,,,,,,,1,,,
253,mpeg_vdpau,,1,,,,,,,,,
56,mpeg_xvmc,,1,,,,,,,,,
75,mpegaudio,,,,,,,,1,,,
245,mpegps,,,,1,,,,,,,
51,mpegts,,,1,1,,,,,,,
386,mpegtsraw,,,,1,,,,,,,
410,mpegvideo,,1,,1,,,,1,,,
327,mpjpeg,,,1,,,,,,,,
392,msmpeg4_crystalhd,,1,,,,,,,,,
198,msmpeg4v1,,1,,,,,,,,,
106,msmpeg4v2,1,1,,,,,,,,,
440,msmpeg4v3,1,1,,,,,,,,,
